ID,Region/Province,Municipality/City,2009,2012,2015
34931,,Talugtug,36.0,28.5,23.9
34932,,Zaragoza,19.3,18.2,13.2
35401,Pampanga,Angeles City,5.0,1.3,6.7
35402,,Apalit,9.1,4.0,7.1
35403,,Arayat,8.7,7.3,9.5
35404,,Bacolor,6.2,4.4,9.4
35405,,Candaba,17.7,6.6,12.5
35406,,Floridablanca,13.4,6.8,13.1
35407,,Guagua,7.4,3.8,7.7
35408,,Lubao,10.6,5.4,8.9
35409,,Mabalacat City,7.2,1.9,8.0
35410,,Macabebe,9.2,4.8,11.3
35411,,Magalang,8.1,5.0,9.7
35412,,Masantol,9.1,8.1,20.0
35413,,Mexico,7.7,3.9,8.8
35414,,Minalin,9.0,6.0,8.8
35415,,Porac,11.3,7.1,11.1
35416,,San Fernando City,4.8,2.5,6.5
35417,,San Luis,16.2,6.0,9.6
35418,,San Simon,9.1,4.4,12.2
35419,,Santa Ana,11.0,6.1,8.8
35420,,Santa Rita,9.4,4.9,7.0
35421,,Santo Tomas,6.0,2.6,5.3
35422,,Sasmuan,11.5,6.7,15.9
36901,Tarlac,Anao,18.0,9.8,10.5
36902,,Bamban,10.6,4.6,12.6
36903,,Camiling,15.8,9.5,14.6
36904,,Capas,13.2,14.3,13.3
36905,,Concepcion,13.5,6.7,14.0
36906,,Gerona,17.6,10.9,12.8
36907,,La Paz,17.0,6.4,16.6
36908,,Mayantoc,28.3,12.6,18.3
36909,,Moncada,15.9,11.3,17.7
36910,,Paniqui,12.8,10.7,12.2
36911,,Pura,14.7,10.8,15.9
36912,,Ramos,16.7,13.0,15.0
36913,,San Clemente,18.2,11.8,14.2
36914,,San Manuel,17.0,10.0,16.7
36915,,Santa Ignacia,21.8,12.7,15.0
36916,,Tarlac City,8.7,8.5,10.8
36917,,Victoria,20.2,11.3,18.9
36918,,San Jose,32.1,24.0,18.3
37101,Zambales,Botolan,17.4,23.7,22.7
37102,,Cabangan,21.2,17.3,24.8
37103,,Candelaria,18.2,15.8,20.5
37104,,Castillejos,12.5,7.8,18.2
37105,,Iba,12.5,13.3,16.8
37106,,Masinloc,18.2,18.0,20.9
37107,,Olongapo City,4.5,3.1,11.6
37108,,Palauig,21.3,20.8,22.9
37109,,San Antonio,12.0,11.2,15.9
37110,,San Felipe,14.5,13.7,16.7
37111,,San Marcelino,14.8,14.1,15.2
37112,,San Narciso,10.7,11.5,13.5
37113,,Santa Cruz,18.7,18.9,23.7
37114,,Subic,11.5,11.7,18.9
37701,Aurora,Baler,9.6,10.0,9.1
37702,,Casiguran,19.7,18.4,12.7
37703,,Dilasag,19.2,13.9,12.4
37704,,Dinalungan,25.6,13.8,9.1
37705,,Dingalan,14.5,13.5,14.6
37706,,Dipaculao,17.9,14.5,12.3
37707,,Maria Aurora,13.2,10.1,10.7
37708,,San Luis,13.8,13.2,11.8
,Region IV-A (CALABARZON),,,,
41001,Batangas,Agoncillo,15.4,16.2,11.8
41002,,Alitagtag,8.6,6.5,6.0
41003,,Balayan,14.1,8.7,6.5
41004,,Balete,17.2,10.6,7.7
41005,,Batangas City,7.1,3.6,4.6
41006,,Bauan,2.7,4.3,3.3
41007,,Calaca,17.8,20.0,17.4
41008,,Calatagan,21.9,24.0,22.4
41009,,Cuenca,9.9,8.6,5.6
41010,,Ibaan,12.1,8.6,7.2
41011,,Laurel,21.8,31.3,25.7
41012,,Lemery,14.3,13.7,11.1
41013,,Lian,16.5,18.0,13.3
41014,,Lipa City,3.9,5.2,4.2
41015,,Lobo,19.1,25.9,21.5
41016,,Mabini,11.7,6.6,7.3
41017,,Malvar,6.5,6.6,4.3
41018,,Mataas Na Kahoy,9.8,4.8,3.6
41019,,Nasugbu,17.3,15.3,12.7
41020,,Padre Garcia,16.5,13.8,7.2
41021,,Rosario,16.8,14.9,11.6
41022,,San Jose,11.2,8.6,4.2
41023,,San Juan,15.4,21.2,15.4
41024,,San Luis,9.5,10.3,5.9
41025,,San Nicolas,5.3,10.6,12.1
41026,,San Pascual,5.8,3.0,2.8
41027,,Santa Teresita,9.4,6.0,6.5
41028,,Santo Tomas,8.6,5.4,4.0
41029,,Taal,4.1,7.0,5.5
41030,,Talisay,5.6,10.1,8.8
41031,,Tanauan City,4.0,5.9,4.6
41032,,Taysan,16.6,14.9,13.0
41033,,Tingloy,26.2,31.6,26.2
41034,,Tuy,18.0,19.8,12.4
42101,Cavite,Alfonso,13.8,6.0,4.8
42102,,Amadeo,6.3,1.9,3.2
42103,,Bacoor City,3.6,1.1,4.9
42104,,Carmona,3.4,3.0,3.8
42105,,Cavite City,5.5,5.4,6.9
42106,,Dasmariñas City,5.3,4.8,5.8
42107,,General Emilio Aguinaldo,13.7,7.3,9.6
42108,,General Trias City,3.5,3.2,3.9
42109,,Imus City,2.3,1.1,4.9
42110,,Indang,6.7,3.1,5.5
42111,,Kawit,4.8,5.9,9.5
42112,,Magallanes,19.4,13.5,17.2
42113,,Maragondon,16.3,8.9,13.8
42114,,Mendez (Mendez-Nuñez),4.5,5.2,5.2
42115,,Naic,8.4,8.3,12.3
42116,,Noveleta,3.0,3.4,8.6
42117,,Rosario,5.9,7.5,5.6
42118,,Silang,11.0,5.5,6.9
42119,,Tagaytay City,5.6,6.6,5.9
42120,,Tanza,5.4,6.8,9.0
42121,,Ternate,16.5,9.0,15.2
42122,,Trece Martires City,4.3,4.6,5.3
42123,,Gen. Mariano Alvarez,5.7,6.0,8.0
43401,Laguna,Alaminos,6.4,2.1,2.7
43402,,Bay,2.8,3.2,2.7
43403,,Biñan City,1.7,7.9,5.2
43404,,Cabuyao City,1.7,11.0,8.5
43405,,Calamba City,2.0,3.4,3.0
43406,,Calauan,12.0,13.0,9.7
43407,,Cavinti,11.5,14.0,8.5
43408,,Famy,11.0,15.7,10.2
43409,,Kalayaan,12.8,14.5,11.9
43410,,Liliw,7.6,9.9,3.9
43411,,Los Baños,1.6,2.7,2.1
43412,,Luisiana,8.2,7.3,8.6
43413,,Lumban,7.2,8.7,7.9
43414,,Mabitac,14.4,22.5,16.9
43415,,Magdalena,13.8,19.5,16.4
43416,,Majayjay,13.4,15.2,8.4
43417,,Nagcarlan,7.3,10.0,5.6
43418,,Paete,3.2,7.7,5.4
43419,,Pagsanjan,2.8,7.2,4.9
43420,,Pakil,8.9,12.7,11.9
43421,,Pangil,7.4,16.2,8.6
43422,,Pila,3.4,8.4,6.7
43423,,Rizal,5.8,4.9,3.0
43424,,San Pablo City,2.7,5.6,4.2
43425,,San Pedro City,1.4,1.0,2.7
43426,,Santa Cruz,2.3,5.3,4.6
43427,,Santa Maria,16.8,20.6,16.6
43428,,Santa Rosa City,1.5,1.9,2.4
43429,,Siniloan,11.4,11.0,8.6
43430,,Victoria,3.7,8.6,4.4
45601,Quezon,Agdangan,19.8,21.6,15.2
45602,,Alabat,17.0,13.4,7.6
45603,,Atimonan,12.7,37.3,27.5
45605,,Buenavista,34.9,46.6,38.5
45606,,Burdeos,39.3,50.8,40.9
45607,,Calauag,25.8,28.1,24.5
45608,,Candelaria,10.6,12.8,6.2
45610,,Catanauan,27.8,30.6,26.2
45615,,Dolores,13.3,13.7,9.5
45616,,General Luna,27.5,32.5,27.5
45617,,General Nakar,27.8,43.3,31.5
45618,,Guinayangan,27.5,29.1,22.5
45619,,Gumaca,16.7,13.1,13.1
45620,,Infanta,15.0,13.7,11.9
45621,,Jomalig,39.0,57.6,45.5
45622,,Lopez,21.7,23.1,22.4
45623,,Lucban,5.2,5.3,3.8
45624,,Lucena City,3.6,6.6,5.9
45625,,Macalelon,29.5,30.0,28.9
45627,,Mauban,21.5,26.5,18.1
45628,,Mulanay,31.5,39.7,34.3
45629,,Padre Burgos,17.2,27.0,20.9
45630,,Pagbilao,13.4,12.1,10.1
45631,,Panukulan,34.5,42.4,39.5
45632,,Patnanungan,36.0,55.4,45.2
45633,,Perez,29.7,37.7,33.6
45634,,Pitogo,24.2,28.1,25.4
45635,,Plaridel,12.3,16.6,14.1
45636,,Polillo,27.0,30.8,24.5
45637,,Quezon,29.2,26.4,26.2
45638,,Real,17.1,29.8,23.4
