,school_id,school_name,region,province,municipality,division,district,year_level,gender,enrollment,latitude,longitude
8203,107900,Bucal ES,IV-A (CALABARZON),Cavite,City of Dasmarinas,Dasmarinas City,DasmariÐas I,grade 4,male,45,14.2837352,120.9603149
8204,108038,Bucal I ES,IV-A (CALABARZON),Cavite,Maragondon,Cavite,Maragondon,grade 4,male,25,14.2741151,120.7421176
8205,108039,Bucal II ES,IV-A (CALABARZON),Cavite,Maragondon,Cavite,Maragondon,grade 4,male,30,14.2752698,120.7508
8206,108040,Bucal IV ES,IV-A (CALABARZON),Cavite,Maragondon,Cavite,Maragondon,grade 4,male,13,14.274655,120.7687577
8207,108061,Bucana ES,IV-A (CALABARZON),Cavite,Naic,Cavite,Naic I,grade 4,male,18,14.2964865,120.792458
8208,108062,Bucana Sasahan ES,IV-A (CALABARZON),Cavite,Naic,Cavite,Naic I,grade 4,male,39,14.3230373,120.7599564
8209,107842,Buck EState ES,IV-A (CALABARZON),Cavite,Alfonso,Cavite,Alfonso,grade 4,male,24,14.0890817,120.8527655
8210,107946,Buenavista ES,IV-A (CALABARZON),Cavite,General Trias,Cavite,General Trias I,grade 4,male,129,14.30687,120.904404
8211,108339,Buenavista-Cigaras ES,IV-A (CALABARZON),Laguna,Magdalena,Laguna,Magdalena,grade 4,male,72,14.2244955,121.4291486
8212,108488,Buhay ES,IV-A (CALABARZON),Laguna,Siniloan,Laguna,Siniloan,grade 4,male,60,14.4276445,121.4466892
8213,107972,Buhay Na Tubig ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus I,grade 4,male,175,14.40944,120.9537745
8214,164018,Buhay na Tubig ES (Maharlika Annex),IV-A (CALABARZON),Cavite,Imus,Cavite,Imus I,grade 4,male,24,14.3964659,120.9597895
8215,108345,Bukal ES,IV-A (CALABARZON),Laguna,Majayjay,Laguna,Majayjay,grade 4,male,12,14.1039051,121.4784668
8216,108115,Bukal ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang II,grade 4,male,18,14.214175,120.9687359
8217,108270,Bukal ES,IV-A (CALABARZON),Laguna,Cavinti,Laguna,Cavinti,grade 4,male,11,14.2344958,121.5427093
8218,107982,Bukandala ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus II,grade 4,male,247,14.409302,120.929543
8219,108271,Bulajo ES,IV-A (CALABARZON),Laguna,Cavinti,Laguna,Cavinti,grade 4,male,8,14.2242652,121.4984572
8220,108140,Bulalo ES,IV-A (CALABARZON),Cavite,Tagaytay City,Cavite,Tagaytay City,grade 4,male,25,14.0991367,120.9235639
8221,108141,Bulalo ES - Annex,IV-A (CALABARZON),Cavite,Tagaytay City,Cavite,Tagaytay City,grade 4,male,0,14.0991367,120.9235639
8222,107937,Bulihan ES,IV-A (CALABARZON),Cavite,Gen. Mariano Alvarez,Cavite,General Mariano Alvarez,grade 4,male,106,14.2813243,120.9976694
8223,108102,Bulihan Sites & Services Project Elementary School,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 4,male,220,14.2750783,120.9962356
8224,108008,Buna Cerca ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 4,male,28,14.1874174,120.8872137
8225,108009,Buna Lejos ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 4,male,36,14.1901304,120.9044342
8226,108356,Bunga ES,IV-A (CALABARZON),Laguna,Nagcarlan,Laguna,Nagcarlan-Rizal,grade 4,male,14,14.1449692,121.3977195
8227,108156,Bunga PS,IV-A (CALABARZON),Cavite,Tanza,Cavite,Tanza,grade 4,male,0,14.3429329,120.8503144
